
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: MOriginal.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  26.04.2017 11:42:16.728

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl        , rlmax_w   , rlmx_w    , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    1.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.05556   , 800       , 830       , 839.063   , 847.031   , 0.781252  , 1.13282   , 0.664064  , 1.17188   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17867   , 95.25     , 0         , 0         , 0         , -13.5     
    1.750, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.77778   , 800       , 830       , 839.063   , 847.266   , 0.781252  , 1.13282   , 0.664064  , 1.17188   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17067   , 95.25     , 0         , 0         , 0         , -13.5     
    1.800, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.75001   , 800       , 830       , 839.063   , 846.016   , 0.761721  , 1.09375   , 0.664064  , 1.17188   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.168     , 95.25     , 0         , 0         , 0         , -12.75    
    1.850, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.41667   , 800       , 830       , 839.063   , 847.227   , 0.761721  , 1.09375   , 0.664064  , 1.17188   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.20534   , 95.25     , 0         , 0         , 0         , -12.75    
    1.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.41667   , 800       , 830       , 839.063   , 847.031   , 0.761721  , 1.09375   , 0.644533  , 1.13282   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.23467   , 95.25     , 0         , 0         , 0         , -13.5     
    1.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.19445   , 800       , 830       , 839.063   , 847.344   , 0.761721  , 1.09375   , 0.644533  , 1.13282   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.22934   , 95.25     , 0         , 0         , 0         , -13.5     
    2.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.11112   , 800       , 830       , 839.063   , 847.344   , 0.781252  , 1.09375   , 0.664064  , 1.17188   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.24534   , 95.25     , 0         , 0         , 0         , -14.25    
    2.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.05556   , 800       , 830       , 839.063   , 847.031   , 0.781252  , 1.09375   , 0.664064  , 1.17188   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.25067   , 95.25     , 0         , 0         , 0         , -14.25    
    2.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.86112   , 800       , 830       , 839.063   , 847.344   , 0.761721  , 1.05469   , 0.664064  , 1.17188   , 29.25     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.23734   , 95.25     , 0         , 0         , 0         , -14.25    
    2.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.77778   , 800       , 830       , 839.063   , 846.367   , 0.761721  , 1.05469   , 0.664064  , 1.17188   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.224     , 95.25     , 0         , 0         , 0         , -13.5     
