TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.62024   , 99.2188   , 0         , 3.5       , 6.41667   , 800       , 820       , 836.406   , 405.313   , 308.828   , 836.484   , 852.969   , 0.546876  , 1.05469   , 0.585939  , 0.781252  , 27.2578   , 72.1406   , 73.2891   , 18.8906   , 210       , 16.5      , 16.5      , 2.05334   , 48.75     , 0         , 0.369873  , 0         , 0         , -5.25     , 12.9212   , 33.9722   , 7.73316   
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.69654   , 99.2188   , 0         , 3.5       , 6.47223   , 800       , 820       , 836.406   , 403.203   , 311.094   , 836.484   , 855       , 0.546876  , 1.05469   , 0.585939  , 0.781252  , 27.0469   , 72.1406   , 73.2891   , 19.0313   , 210       , 16.5      , 16.5      , 2.03734   , 48.75     , 0         , 0.371887  , 0         , 0         , -5.25     , 12.825    , 33.9279   , 7.85523   
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.63856   , 99.2188   , 0         , 3.5       , 6.50001   , 800       , 820       , 836.406   , 403.75    , 310.156   , 836.484   , 852.969   , 0.566408  , 1.01563   , 0.60547   , 0.781252  , 27.0703   , 72.1406   , 73.2891   , 18.9375   , 210       , 16.5      , 16.5      , 2.056     , 48.75     , 0         , 0.372742  , 0         , 0         , -4.5      , 12.7853   , 33.9127   , 7.68433   
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.6233    , 99.2188   , 0         , 3.52778   , 6.50001   , 800       , 820       , 836.406   , 402.344   , 309.531   , 836.484   , 854.688   , 0.566408  , 1.01563   , 0.60547   , 0.781252  , 26.9766   , 72.1406   , 73.2891   , 18.9141   , 210       , 16.5      , 16.5      , 2.04534   , 48.75     , 0         , 0.369751  , 0         , 0         , -3.75     , 12.7869   , 33.9417   , 7.75147   
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.6233    , 99.2188   , 0         , 3.52778   , 6.55556   , 800       , 820       , 836.406   , 404.063   , 309.766   , 836.484   , 852.969   , 0.546876  , 1.01563   , 0.60547   , 0.761721  , 27.1172   , 72.1406   , 73.2891   , 18.9141   , 210       , 16.5      , 16.5      , 2.08      , 48.75     , 0         , 0.370667  , 0         , 0         , -3.75     , 12.8204   , 33.9203   , 7.7942    
    1.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.63856   , 99.2188   , 0         , 3.52778   , 6.66667   , 800       , 820       , 836.406   , 404.688   , 310.156   , 836.484   , 855       , 0.546876  , 1.01563   , 0.60547   , 0.761721  , 27.1406   , 72.1406   , 73.2891   , 18.9375   , 210       , 16.5      , 16.5      , 2.08      , 48.75     , 0         , 0.370789  , 0         , 0         , -6        , 12.8281   , 33.9127   , 7.58362   
    1.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.66297   , 99.2188   , 0         , 3.5       , 6.75001   , 800       , 820       , 836.406   , 406.797   , 310.313   , 836.484   , 853.203   , 0.546876  , 0.976565  , 0.625002  , 0.781252  , 27.375    , 72.1406   , 73.2891   , 19.0078   , 210       , 16.5      , 16.5      , 2.136     , 48.75     , 0         , 0.370667  , 0         , 0         , -4.5      , 12.944    , 33.9646   , 8.13294   
    1.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.82166   , 99.2188   , 0         , 3.5       , 6.47223   , 800       , 820       , 836.406   , 406.953   , 316.25    , 836.484   , 856.563   , 0.546876  , 0.976565  , 0.625002  , 0.781252  , 27.2813   , 72.1406   , 73.2891   , 19.3828   , 210       , 16.5      , 16.5      , 2.08      , 48.75     , 0         , 0.377808  , 0         , 0         , -2.25     , 12.8891   , 33.8455   , 8.95997   
    1.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 8.03223   , 99.2188   , 0         , 3.52778   , 6.58334   , 800       , 820       , 836.406   , 408.125   , 325.234   , 836.484   , 855.625   , 0.527345  , 1.01563   , 0.60547   , 0.781252  , 27.2578   , 72.1406   , 73.2891   , 20.0391   , 210       , 16.5      , 16.5      , 2.15467   , 48.75     , 0         , 0.384888  , 0         , 0         , -1.5      , 12.8433   , 33.757    , 9.05762   
    1.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.89795   , 99.2188   , 0         , 3.52778   , 6.63889   , 800       , 820       , 836.406   , 409.531   , 319.219   , 836.484   , 856.094   , 0.527345  , 1.01563   , 0.60547   , 0.781252  , 27.5156   , 72.1406   , 73.2891   , 19.6641   , 210       , 16.5      , 16.5      , 2.15734   , 48.75     , 0         , 0.381653  , 0         , 0         , -4.5      , 12.9929   , 33.757    , 8.24891   
