TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , misolv_w  , mizsolv_w , milsol_w  , milsolv_w , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , , , , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueBeforeLimitation","TorqueForTimingIntervention","","",""
    0.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.26417   , 8.26417   , 99.2188   , 0         , 3.66667   , 7.63889   , 760       , 820       , 835.859   , 429.453   , 325.391   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.722658  , 1.13282   , 31.8047   , 72.1406   , 73.2891   , 21.9141   , 445       , 40.5      , 40.5      , 2.30667   , 96.75     , 0         , 0.389283  , 0.949982  , 0.784314  , 0         , -7.5      , 12.9349   , 24.9695   , 8.26417   , 8.42286   , 9.24073   , 9.24073   , 29.25     
    0.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.44727   , 8.44727   , 99.2188   , 0         , 3.66667   , 7.22223   , 760       , 820       , 835.859   , 429.297   , 331.172   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.722658  , 1.13282   , 31.7344   , 72.1406   , 73.2891   , 22.3828   , 445       , 40.5      , 40.5      , 2.28      , 96.75     , 0         , 0.395325  , 0.949982  , 0.784314  , 0         , -7.5      , 12.915    , 24.9634   , 8.44727   , 8.67005   , 9.51539   , 9.51539   , 29.25     
    1.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.35572   , 8.35572   , 99.2188   , 0         , 3.72223   , 8.02778   , 760       , 820       , 835.859   , 434.219   , 330.234   , 836.484   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.722658  , 1.09375   , 32.1797   , 72.1406   , 73.2891   , 22.2656   , 445       , 40.5      , 40.5      , 2.32534   , 96.75     , 0         , 0.395081  , 0.949982  , 0.784314  , 0         , -6.75     , 13.0585   , 24.9664   , 8.35572   , 8.52967   , 9.46046   , 9.46046   , 29.25     
    1.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.37708   , 8.37708   , 99.2188   , 0         , 3.72223   , 7.58334   , 800       , 820       , 835.859   , 437.422   , 329.297   , 836.484   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.722658  , 1.09375   , 32.4844   , 72.1406   , 73.2891   , 22.1953   , 440       , 40.5      , 40.5      , 2.34934   , 96.75     , 0         , 0.39447   , 0.949982  , 0.784314  , 0         , -9        , 13.1714   , 24.9848   , 8.37708   , 8.3313    , 9.41468   , 9.41468   , 27.75     
    1.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.34962   , 8.34962   , 99.2188   , 0         , 3.66667   , 7.44445   , 760       , 820       , 835.859   , 436.641   , 327.188   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.13282   , 0.722658  , 1.09375   , 32.4844   , 72.1406   , 73.2891   , 22.0547   , 440       , 40.5      , 40.5      , 2.34667   , 96.75     , 0         , 0.389893  , 0.949982  , 0.784314  , 0         , -8.25     , 13.1836   , 24.9848   , 8.34962   , 8.38624   , 9.32618   , 9.32618   , 27.75     
    1.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.31299   , 8.31299   , 99.2188   , 0         , 3.63889   , 7.75001   , 800       , 820       , 835.859   , 438.75    , 326.563   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.13282   , 0.722658  , 1.09375   , 32.6719   , 72.1406   , 73.2891   , 21.9844   , 440       , 40.5      , 40.5      , 2.368     , 96.75     , 0         , 0.390686  , 0.949982  , 0.784314  , 0         , -9        , 13.2034   , 24.9802   , 8.31299   , 8.19703   , 9.28956   , 9.28956   , 27.75     
    1.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.29163   , 8.29163   , 99.2188   , 0         , 3.66667   , 7.61112   , 800       , 820       , 835.781   , 437.656   , 325.703   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.13282   , 0.742189  , 1.09375   , 32.5781   , 72.1406   , 73.2891   , 21.9375   , 440       , 40.5      , 40.5      , 2.36      , 96.75     , 0         , 0.388733  , 0.949982  , 0.784314  , 0         , -9.75     , 13.205    , 24.9893   , 8.29163   , 7.98646   , 9.2682    , 9.2682    , 27.75     
    1.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.25501   , 8.25501   , 99.2188   , 0         , 3.63889   , 7.27778   , 800       , 820       , 835.781   , 435.156   , 324.531   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.13282   , 0.742189  , 1.09375   , 32.4141   , 72.1406   , 73.2891   , 21.8906   , 440       , 40.5      , 40.5      , 2.336     , 96.75     , 0         , 0.388245  , 0.949982  , 0.784314  , 0         , -9.75     , 13.2248   , 25.0061   , 8.25501   , 7.98646   , 9.23157   , 9.23157   , 27.75     
    1.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.21229   , 8.21229   , 99.2188   , 0         , 3.66667   , 6.69445   , 800       , 820       , 835.859   , 425.078   , 323.828   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.09375   , 0.761721  , 1.13282   , 31.4531   , 72.1406   , 73.2891   , 21.8203   , 440       , 40.5      , 40.5      , 2.264     , 96.75     , 0         , 0.386292  , 0.949982  , 0.784314  , 0         , -9        , 12.9791   , 25.0031   , 8.21229   , 7.85218   , 9.18885   , 9.18885   , 28.5      
    1.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.19703   , 8.19703   , 99.2188   , 0         , 3.66667   , 6.69445   , 800       , 820       , 835.859   , 417.656   , 323.359   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.09375   , 0.761721  , 1.13282   , 30.75     , 72.1406   , 73.2891   , 21.7969   , 440       , 40.5      , 40.5      , 2.2       , 96.75     , 0         , 0.386841  , 0.949982  , 0.784314  , 0         , -9.75     , 12.7319   , 25.0076   , 8.19703   , 7.61719   , 9.17359   , 9.17359   , 29.25     
