TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdkds_w  , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.900, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.25      , 13.1389   , 2400      , 840       , 840.313   , 236.797   , 162.031   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.10938   , 1.64063   , 2.03126   , 18.0938   , 122.32    , 124.266   , 10.9688   , 320       , 66        , 66        , 1.8       , 108       , 70.7734   , 0.19281   , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.10145   , 43.866    , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.950, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.19445   , 12.3056   , 2400      , 840       , 840.313   , 235.625   , 162.109   , 840.234   , 1005.7    , 862.422   , 862.422   , 1.71875   , 2.10938   , 1.64063   , 2.03126   , 17.9766   , 121.219   , 123.141   , 10.9688   , 320       , 66        , 66        , 1.75467   , 108       , 70.6953   , 0.192871  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.12891   , 44.0644   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.000, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.16667   , 12.9167   , 2400      , 840       , 840.313   , 234.297   , 162.109   , 841.484   , 1004.61   , 861.563   , 861.563   , 1.875     , 1.95313   , 1.64063   , 2.10938   , 17.8594   , 121.945   , 123.891   , 10.9688   , 320       , 66        , 66        , 1.78667   , 108       , 70.6172   , 0.192871  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.9275    , 43.6478   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.050, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.16667   , 13.0278   , 2360      , 840       , 840.391   , 241.797   , 162.109   , 841.484   , 1004.53   , 861.406   , 861.406   , 1.875     , 1.95313   , 1.64063   , 2.10938   , 18.5859   , 120.75    , 122.672   , 10.9688   , 320       , 66        , 66        , 1.808     , 108       , 70.5469   , 0.192871  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.41425   , 43.9011   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.100, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.8611   , 2360      , 840       , 840.391   , 237.578   , 162.188   , 841.484   , 1007.03   , 863.516   , 863.516   , 1.875     , 1.95313   , 1.5625    , 2.10938   , 18.1641   , 121.406   , 123.328   , 10.9688   , 320       , 66        , 66        , 1.784     , 108       , 70.4766   , 0.192932  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.21436   , 43.4815   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.150, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.16667   , 12.5      , 2360      , 840       , 840.391   , 238.906   , 162.266   , 841.484   , 1005.23   , 862.031   , 862.031   , 1.875     , 1.95313   , 1.5625    , 2.10938   , 18.2813   , 120.047   , 121.945   , 10.9688   , 320       , 66        , 66        , 1.8       , 108       , 70.3906   , 0.193054  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.29828   , 43.6798   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.200, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.16667   , 12.5833   , 2360      , 840       , 840.391   , 236.641   , 162.266   , 841.484   , 1005.23   , 861.953   , 861.953   , 1.79688   , 1.95313   , 1.48438   , 2.03126   , 18.0703   , 120.516   , 122.438   , 10.9688   , 320       , 66        , 66        , 1.80267   , 108       , 70.3047   , 0.193054  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.12586   , 43.2083   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.250, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.13889   , 12.9445   , 2360      , 840       , 840.391   , 238.047   , 162.344   , 841.484   , 1004.53   , 861.406   , 861.406   , 1.79688   , 1.95313   , 1.48438   , 2.03126   , 18.1875   , 119.391   , 121.289   , 10.9688   , 320       , 66        , 66        , 1.80267   , 108       , 70.1953   , 0.193176  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.15333   , 43.3533   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.300, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.02778   , 12.5      , 2360      , 840       , 840.391   , 238.203   , 162.344   , 840.234   , 1004.53   , 861.406   , 861.406   , 1.64063   , 1.95313   , 1.40625   , 2.03126   , 18.2109   , 120       , 121.898   , 10.9688   , 320       , 66        , 66        , 1.78667   , 108       , 70.1016   , 0.193176  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.23877   , 42.9352   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    1.350, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.11112   , 12.4167   , 2360      , 840       , 840.391   , 239.297   , 162.422   , 840.234   , 1004.53   , 861.406   , 861.406   , 1.64063   , 1.95313   , 1.40625   , 2.03126   , 18.3047   , 118.852   , 120.75    , 10.9688   , 320       , 66        , 66        , 1.77334   , 108       , 70.0078   , 0.193237  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.32422   , 43.1336   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
