  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
854.314,0,0,0,0,3,0.852296,0,2560,57.25,2400,22.81968426,826.641,11.98943574,1118.75,4.236690514,4.84376,6.40627,5.15626,5.78126,75.75,188.18,195.773,505,23.25,23.25,4.96534,90.75,58.0078,35.6863,99.9999,21.75
854.364,0,0,0,0,3,0.852296,0,2600,56.6945,2400,22.81968426,826.641,11.98943574,1122.5,4.291079764,4.84376,6.40627,5.15626,5.78126,75.75,188.063,195.773,505,23.25,23.25,4.95201,90.75,58.2344,35.6863,99.9999,21.75
854.414,0,0,0,0,3,0.848878,0,2600,57.6667,2400,22.81968426,826.641,11.98943574,1129.14,4.387384996,4.84376,6.40627,5.31251,5.93752,75.75,188.039,195.773,505,23.25,23.25,4.98401,90.75,58.5625,35.6863,99.9999,21.75
854.464,0,0,0,0,3,0.848878,0,2600,58.9723,2400,22.81968426,826.641,11.98943574,1130.86,4.412331532,4.84376,6.40627,5.31251,5.93752,76.5,187.992,195.773,510,23.25,23.25,5.00534,90.75,58.8828,35.6863,99.9999,21.75
854.514,0,0,0,0,3,0.846437,0,2640,59.5,2400,22.81968426,826.641,11.98943574,1137.5,4.508636764,5.15626,6.40627,5.15626,5.62501,75.75,187.922,195.773,510,23.25,23.25,4.99467,90.75,59.1328,35.6863,99.9999,21.75
854.564,0,0,0,0,3,0.846437,0,2640,58.5278,2400,22.81968426,826.641,11.98943574,1141.95,4.573178674,5.15626,6.40627,5.15626,5.62501,76.5,187.922,195.773,510,23.25,23.25,5.01334,90.75,59.4844,35.6863,99.9999,21.75
854.614,0,0,0,0,3,0.842775,0,2680,60.4445,2400,22.81968426,826.641,11.98943574,1147.11,4.648018282,5.31251,6.71877,4.84376,5.93752,77.25,187.805,195.773,510,23.25,23.25,5.07201,90.75,59.7969,35.6863,99.9999,21.75
854.664,0,0,0,0,3,0.842775,0,2640,61.7223,2400,22.81968426,826.641,11.98943574,1153.36,4.738667032,5.31251,6.71877,4.84376,5.93752,77.25,187.828,195.773,515,23.25,23.25,5.08801,90.75,60.1328,35.6863,99.9999,21.75
854.714,0,0,0,0,3,0.839845,0,2680,62.8612,2400,22.81968426,826.641,11.98943574,1159.06,4.821338692,5.46876,7.18752,5.31251,5.93752,78.75,187.734,195.773,515,23.25,23.25,5.16801,90.75,60.5469,35.6863,99.9999,21
854.764,0,0,0,0,3,0.839845,0,2680,64.4167,2400,22.81968426,826.641,11.98943574,1165.16,4.909811872,5.46876,7.18752,5.31251,5.93752,79.5,187.711,195.773,515,23.25,23.25,5.19201,90.75,60.8438,35.6863,99.9999,21
854.814,0,0,0,0,3,0.837404,0,2720,62.1667,2380,22.52960826,826.641,11.98943574,1171.64,5.003796496,5.46876,7.18752,5.15626,5.93752,79.5,187.641,195.773,515,23.25,23.25,5.21067,90.75,61.2344,35.6863,99.9999,21
854.864,0,0,0,0,3,0.837404,0,2720,64.3334,2380,22.52960826,826.641,11.98943574,1173.75,5.034399514,5.46876,7.18752,5.15626,5.93752,79.5,187.57,195.773,515,23.25,23.25,5.21601,90.75,61.375,35.6863,99.9999,21
854.914,0,0,0,0,3,0.833986,0,2720,63.9167,2380,22.52960826,826.641,11.98943574,1180.16,5.127368872,5.78126,7.18752,5.46876,5.93752,79.5,187.57,195.773,515,23.25,23.25,5.23467,90.75,61.7109,35.6863,99.9999,21
854.964,0,0,0,0,3,0.833986,0,2760,65.5556,2380,22.52960826,826.641,11.98943574,1183.98,5.182773388,5.78126,7.18752,5.46876,5.93752,80.25,187.547,195.773,515,23.25,23.25,5.24267,90.75,62,35.6863,99.9999,21
855.014,0,0,0,0,3,0.8313,0,2760,68.5001,2380,22.52960826,826.641,11.98943574,1190,5.270086264,5.93752,7.65627,5.78126,5.62501,81,187.453,195.773,515,23.25,23.25,5.31734,90.75,62.3672,35.6863,99.9999,21
855.064,0,0,0,0,3,0.8313,0,2800,66.7223,2380,22.52960826,826.641,11.98943574,1197.42,5.37770446,5.93752,7.65627,5.78126,5.62501,81.75,187.453,195.773,520,23.25,23.25,5.37601,90.75,62.7344,35.6863,99.9999,20.25
