
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  18.11.2017 09:16:36.972

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    2.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.6389    , 880       , 820       , 829.063   , 911.094   , 0.527345  , 0.683596  , 0.507814  , 0.800783  , 33.9141   , 144.328   , 133.734   , 24.3984   , 230       , 12        , 12        , 2.29067   , 23.25     , 0         , 1.17647   , 0         , -9        
    2.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.55556   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.664064  , 0.488283  , 0.781252  , 33.5859   , 144.328   , 133.734   , 24.7734   , 225       , 12        , 12        , 2.27734   , 23.25     , 0         , 1.17647   , 0         , -8.25     
    2.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.97223   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.664064  , 0.488283  , 0.781252  , 33.7734   , 144.328   , 133.734   , 24.75     , 225       , 12        , 12        , 2.35734   , 23.25     , 0         , 1.17647   , 0         , -8.25     
    2.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.33334   , 840       , 820       , 830.313   , 911.094   , 0.546876  , 0.664064  , 0.488283  , 0.781252  , 34.3359   , 144.328   , 133.734   , 24.9375   , 225       , 12        , 12        , 2.49867   , 23.25     , 0         , 1.17647   , 0         , -7.5      
    2.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.02778   , 880       , 820       , 830.313   , 911.641   , 0.527345  , 0.683596  , 0.488283  , 0.781252  , 34.5469   , 144.328   , 133.734   , 25.1016   , 225       , 12        , 12        , 2.416     , 23.25     , 0         , 1.17647   , 0         , -9        
    2.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.11112   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.683596  , 0.507814  , 0.761721  , 34.8281   , 144.328   , 133.734   , 24.8203   , 230       , 12        , 12        , 2.46667   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.77778   , 880       , 820       , 830.313   , 911.641   , 0.527345  , 0.683596  , 0.507814  , 0.761721  , 34.7344   , 144.328   , 133.734   , 24.7734   , 230       , 12        , 12        , 2.38934   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.69445   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.683596  , 0.507814  , 0.761721  , 34.5234   , 144.328   , 133.734   , 24.7969   , 230       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.91667   , 880       , 820       , 830.313   , 911.094   , 0.507814  , 0.703127  , 0.527345  , 0.781252  , 34.5      , 144.328   , 133.734   , 24.4453   , 230       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -10.5     
    2.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.83334   , 880       , 820       , 830.313   , 911.641   , 0.507814  , 0.703127  , 0.527345  , 0.781252  , 34.3828   , 144.328   , 133.734   , 24.2344   , 230       , 12        , 12        , 2.37067   , 23.25     , 0         , 1.17647   , 0         , -10.5     
    2.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.66667   , 880       , 820       , 829.063   , 911.094   , 0.527345  , 0.722658  , 0.546876  , 0.781252  , 34.2188   , 144.328   , 133.734   , 24.4453   , 230       , 12        , 12        , 2.376     , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.80556   , 880       , 820       , 829.063   , 911.094   , 0.527345  , 0.722658  , 0.546876  , 0.781252  , 34.0313   , 144.328   , 133.734   , 24.5859   , 230       , 12        , 12        , 2.344     , 23.25     , 0         , 1.17647   , 0         , -10.5     
    2.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.91667   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.703127  , 0.546876  , 0.761721  , 34.1953   , 144.328   , 133.734   , 24.3281   , 230       , 12        , 12        , 2.384     , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.91667   , 880       , 820       , 830.313   , 911.641   , 0.546876  , 0.703127  , 0.546876  , 0.761721  , 34.1016   , 144.328   , 133.734   , 24.5625   , 230       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.83334   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.703127  , 0.527345  , 0.742189  , 34.125    , 144.328   , 133.734   , 24.375    , 230       , 12        , 12        , 2.38667   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    2.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 880       , 820       , 830.313   , 912.188   , 0.546876  , 0.703127  , 0.527345  , 0.742189  , 34.1016   , 144.328   , 133.734   , 24.4688   , 230       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -9        
    3.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.50001   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.722658  , 0.527345  , 0.761721  , 33.7734   , 144.328   , 133.734   , 24.2578   , 230       , 12        , 12        , 2.32534   , 23.25     , 0         , 1.17647   , 0         , -10.5     
    3.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.00001   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.722658  , 0.527345  , 0.761721  , 33.7969   , 144.328   , 133.734   , 24.0703   , 230       , 12        , 12        , 2.344     , 23.25     , 0         , 1.17647   , 0         , -11.25    
    3.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.61112   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.742189  , 0.507814  , 0.761721  , 33.6094   , 144.328   , 133.734   , 23.9766   , 230       , 12        , 12        , 2.28534   , 24        , 0         , 1.17647   , 0         , -10.5     
    3.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.86112   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.742189  , 0.507814  , 0.761721  , 33.6094   , 144.328   , 133.734   , 24.2109   , 230       , 12        , 12        , 2.29867   , 24        , 0         , 1.17647   , 0         , -9.75     
    3.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.52778   , 840       , 820       , 830.313   , 914.297   , 0.546876  , 0.722658  , 0.507814  , 0.742189  , 33.4453   , 144.328   , 133.734   , 24.5156   , 230       , 12        , 12        , 2.28267   , 24        , 0         , 1.17647   , 0         , -7.5      
    3.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.80556   , 880       , 820       , 830.313   , 911.328   , 0.546876  , 0.722658  , 0.507814  , 0.742189  , 33.6094   , 144.328   , 133.734   , 24.7031   , 230       , 12        , 12        , 2.304     , 24        , 0         , 1.17647   , 0         , -9        
    3.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.8889    , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.722658  , 0.488283  , 0.722658  , 33.7031   , 144.328   , 133.734   , 23.9766   , 230       , 12        , 12        , 2.296     , 24        , 0         , 1.17647   , 0         , -9.75     
    3.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.16667   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.722658  , 0.488283  , 0.722658  , 34.0547   , 144.328   , 133.734   , 23.9531   , 230       , 12        , 12        , 2.416     , 24        , 0         , 1.17647   , 0         , -9.75     
    3.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.50001   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.703127  , 0.507814  , 0.703127  , 33.8906   , 144.328   , 133.734   , 24.3281   , 230       , 12        , 12        , 2.29334   , 24        , 0         , 1.17647   , 0         , -10.5     
    3.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.72223   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.703127  , 0.507814  , 0.703127  , 33.7734   , 144.328   , 133.734   , 24.1875   , 230       , 12        , 12        , 2.296     , 24        , 0         , 1.17647   , 0         , -10.5     
