TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","",""
    0.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.80738   , 99.9985   , 8.80738   , 99.2188   , 0         , 5.38889   , 6.16667   , 800       , 840       , 847.891   , 385.625   , 340.391   , 848.906   , 1155.08   , 865.703   , 0.566408  , 1.28907   , 0.585939  , 1.25      , 27.1875   , 72.1406   , 73.2891   , 22.9453   , 445       , 30        , 30        , 2.112     , 92.25     , 0         , 0.40033   , 0.949982  , 0         , 0         , -1.5      , 0         , 11.3983   , 24.9878   , 8.80738   , 0         , 8.61512   , 9.8816    , 9.8816    , 0         , 0         , 0         , 30.75     
    0.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.85926   , 99.9985   , 8.85926   , 99.2188   , 0         , 5.38889   , 6.36112   , 800       , 840       , 847.891   , 386.484   , 341.563   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.28907   , 0.60547   , 1.21094   , 27.2344   , 72.1406   , 73.2891   , 23.0391   , 445       , 30        , 30        , 2.12534   , 92.25     , 0         , 0.402832  , 0.949982  , 0         , 0         , -1.5      , 0         , 11.3693   , 24.9771   , 8.85926   , 0         , 8.71277   , 9.93348   , 9.93348   , 0         , 0         , 0         , 30.75     
    1.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.84095   , 99.9985   , 8.84095   , 99.2188   , 0         , 5.38889   , 6.30556   , 800       , 840       , 847.891   , 388.047   , 341.563   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.28907   , 0.60547   , 1.21094   , 27.375    , 72.1406   , 73.2891   , 23.0156   , 445       , 30        , 30        , 2.128     , 92.25     , 0         , 0.401306  , 0.949982  , 0         , 0         , -1.5      , 0         , 11.4456   , 24.9802   , 8.84095   , 0         , 8.7555    , 9.91517   , 9.91517   , 0         , 0         , 0         , 30.75     
    1.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.83179   , 99.9985   , 8.83179   , 99.2188   , 0         , 5.38889   , 6         , 800       , 840       , 847.891   , 385.234   , 341.484   , 848.906   , 1155.08   , 865.703   , 0.585939  , 1.25      , 0.625002  , 1.17188   , 27.0938   , 72.1406   , 73.2891   , 22.9922   , 445       , 30        , 30        , 2.088     , 92.25     , 0         , 0.40271   , 0.949982  , 0         , 0         , -2.25     , 0         , 11.3953   , 24.9802   , 8.83179   , 0         , 8.54188   , 9.90601   , 9.90601   , 0         , 0         , 0         , 30.75     
    1.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.71583   , 99.9985   , 8.71583   , 99.2188   , 0         , 5.38889   , 6.25      , 800       , 840       , 847.891   , 384.844   , 338.516   , 848.906   , 1155.08   , 865.703   , 0.585939  , 1.25      , 0.625002  , 1.17188   , 27.1172   , 72.1406   , 73.2891   , 22.7813   , 445       , 30        , 30        , 2.10667   , 92.25     , 0         , 0.399231  , 0.949982  , 0         , 0         , -3        , 0         , 11.3266   , 25        , 8.71583   , 0         , 8.34046   , 9.79005   , 9.79005   , 0         , 0         , 0         , 30.75     
    1.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.77381   , 99.9985   , 8.77381   , 99.2188   , 0         , 5.38889   , 6.66667   , 800       , 840       , 847.891   , 388.75    , 339.297   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.625002  , 1.17188   , 27.4922   , 72.1406   , 73.2891   , 22.875    , 445       , 30        , 30        , 2.13067   , 92.25     , 0         , 0.400391  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.4227   , 24.9848   , 8.77381   , 0         , 8.45338   , 9.84803   , 9.84803   , 0         , 0         , 0         , 30.75     
    1.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.72193   , 99.9985   , 8.72193   , 99.2188   , 0         , 5.38889   , 6.52778   , 800       , 840       , 847.891   , 392.266   , 338.672   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.625002  , 1.17188   , 27.8203   , 72.1406   , 73.2891   , 22.8047   , 445       , 30        , 30        , 2.13067   , 92.25     , 0         , 0.39795   , 0.949982  , 0         , 0         , -4.5      , 0         , 11.6333   , 24.9893   , 8.72193   , 0         , 8.36182   , 9.79615   , 9.79615   , 0         , 0         , 0         , 30        
    1.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.69446   , 99.9985   , 8.69446   , 99.2188   , 0         , 5.38889   , 6.77778   , 800       , 840       , 847.891   , 395.703   , 338.203   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.644533  , 1.13282   , 28.1484   , 72.1406   , 73.2891   , 22.7578   , 445       , 30        , 30        , 2.18934   , 92.25     , 0         , 0.398865  , 0.949982  , 0         , 0         , -3.75     , 0         , 11.7401   , 24.9924   , 8.69446   , 0         , 8.55714   , 9.76868   , 9.76868   , 0         , 0         , 0         , 30.75     
    1.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.75245   , 99.9985   , 8.75245   , 99.2188   , 0         , 5.38889   , 6.72223   , 800       , 840       , 847.891   , 399.063   , 339.766   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.644533  , 1.13282   , 28.4063   , 72.1406   , 73.2891   , 22.8516   , 445       , 30        , 30        , 2.19467   , 92.25     , 0         , 0.40094   , 0.949982  , 0         , 0         , -3.75     , 0         , 11.8301   , 24.9924   , 8.75245   , 0         , 8.59376   , 9.82667   , 9.82667   , 0         , 0         , 0         , 30.75     
    1.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.7555    , 99.9985   , 8.7555    , 99.2188   , 0         , 5.38889   , 6.50001   , 800       , 840       , 847.891   , 398.984   , 339.766   , 847.656   , 1155.08   , 865.703   , 0.625002  , 1.25      , 0.625002  , 1.09375   , 28.4063   , 72.1406   , 73.2891   , 22.8516   , 445       , 30        , 30        , 2.176     , 92.25     , 0         , 0.401062  , 0.949982  , 0         , 0         , -3.75     , 0         , 11.8271   , 24.9878   , 8.7555    , 0         , 8.68531   , 9.82972   , 9.82972   , 0         , 0         , 0         , 30.75     
