TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , misolv_w  , mizsolv_w , milsol_w  , milsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , , , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueBeforeLimitation","TorqueForTimingIntervention","",""
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.92554   , 99.2188   , 0         , 4.80556   , 7.08334   , 760       , 820       , 831.094   , 407.656   , 265.938   , 831.563   , 1002.97   , 852.813   , 0.859377  , 1.09375   , 0.664064  , 0.683596  , 30.0938   , 72.1406   , 73.2891   , 16.3359   , 235       , 17.25     , 17.25     , 2.18134   , 58.5      , 0         , 0.323975  , 0.949982  , 0         , 0         , -9        , 12.294    , 24.9329   , 4.92554   , 5.33753   , 5.80445   , 5.80445   
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.03235   , 99.2188   , 0         , 4.80556   , 7.27778   , 760       , 820       , 831.094   , 409.922   , 267.422   , 831.563   , 1000.47   , 850.703   , 0.859377  , 1.13282   , 0.683596  , 0.703127  , 30.375    , 72.1406   , 73.2891   , 16.5469   , 235       , 17.25     , 17.25     , 2.232     , 58.5      , 0         , 0.321167  , 0.949982  , 0         , 0         , -9        , 12.4008   , 24.9481   , 5.03235   , 5.48706   , 5.91126   , 5.91126   
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.05371   , 99.2188   , 0         , 4.80556   , 7.13889   , 760       , 820       , 831.094   , 411.484   , 267.891   , 831.563   , 1002.89   , 852.734   , 0.859377  , 1.13282   , 0.683596  , 0.703127  , 30.5156   , 72.1406   , 73.2891   , 16.5703   , 235       , 17.25     , 17.25     , 2.20534   , 58.5      , 0         , 0.322327  , 0.949982  , 0         , 0         , -9.75     , 12.4451   , 24.9436   , 5.05371   , 5.25208   , 5.93262   , 5.93262   
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.03235   , 99.2188   , 0         , 4.80556   , 7.16667   , 760       , 820       , 831.094   , 412.813   , 267.734   , 830.313   , 1002.97   , 852.813   , 0.878909  , 1.17188   , 0.664064  , 0.703127  , 30.6328   , 72.1406   , 73.2891   , 16.5469   , 235       , 17.25     , 17.25     , 2.21334   , 58.5      , 0         , 0.322937  , 0.949982  , 0         , 0         , -9.75     , 12.4786   , 24.9405   , 5.03235   , 5.32532   , 5.91126   , 5.91126   
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.02625   , 99.2188   , 0         , 4.80556   , 7.44445   , 800       , 820       , 831.094   , 415.078   , 266.25    , 830.313   , 1002.97   , 852.813   , 0.878909  , 1.17188   , 0.664064  , 0.703127  , 30.9375   , 72.1406   , 73.2891   , 16.5      , 235       , 17.25     , 17.25     , 2.256     , 58.5      , 0         , 0.320618  , 0.949982  , 0         , 0         , -10.5     , 12.5961   , 24.9634   , 5.02625   , 5.01709   , 5.90516   , 5.90516   
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.99878   , 99.2188   , 0         , 4.77778   , 6.83334   , 760       , 820       , 831.094   , 413.516   , 265.625   , 831.563   , 1002.34   , 852.266   , 0.859377  , 1.17188   , 0.664064  , 0.683596  , 30.7969   , 72.1406   , 73.2891   , 16.4531   , 235       , 17.25     , 17.25     , 2.18134   , 58.5      , 0         , 0.320435  , 0.949982  , 0         , 0         , -10.5     , 12.5412   , 24.9664   , 4.99878   , 5.08118   , 5.87769   , 5.87769   
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.0232    , 99.2188   , 0         , 4.80556   , 6.75001   , 800       , 820       , 831.094   , 409.141   , 266.016   , 831.563   , 1002.97   , 852.813   , 0.859377  , 1.17188   , 0.664064  , 0.683596  , 30.375    , 72.1406   , 73.2891   , 16.5      , 235       , 17.25     , 17.25     , 2.14134   , 58.5      , 0         , 0.320313  , 0.949982  , 0         , 0         , -11.25    , 12.4222   , 24.9695   , 5.0232    , 4.80957   , 5.9021    , 5.9021    
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.02015   , 99.2188   , 0         , 4.80556   , 7.02778   , 760       , 820       , 831.094   , 408.516   , 265.859   , 830.313   , 1002.97   , 852.813   , 0.859377  , 1.21094   , 0.683596  , 0.703127  , 30.3516   , 72.1406   , 73.2891   , 16.5234   , 235       , 17.25     , 17.25     , 2.17867   , 58.5      , 0         , 0.318909  , 0.949982  , 0         , 0         , -10.5     , 12.3947   , 24.9802   , 5.02015   , 5.12696   , 5.89905   , 5.89905   
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 5.05982   , 99.2188   , 0         , 4.80556   , 7.19445   , 760       , 820       , 831.094   , 410.313   , 267.422   , 830.313   , 1002.73   , 852.578   , 0.859377  , 1.21094   , 0.683596  , 0.703127  , 30.4453   , 72.1406   , 73.2891   , 16.5938   , 235       , 17.25     , 17.25     , 2.16534   , 58.5      , 0         , 0.321717  , 0.949982  , 0         , 0         , -9.75     , 12.4283   , 24.9588   , 5.05982   , 5.25818   , 5.93872   , 5.93872   
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.98047   , 99.2188   , 0         , 4.83334   , 7.22223   , 800       , 820       , 831.094   , 412.344   , 266.016   , 831.563   , 1002.97   , 852.813   , 0.878909  , 1.21094   , 0.703127  , 0.703127  , 30.6328   , 72.1406   , 73.2891   , 16.4297   , 235       , 17.25     , 17.25     , 2.16534   , 58.5      , 0         , 0.322388  , 0.949982  , 0         , 0         , -11.25    , 12.4924   , 24.9512   , 4.98047   , 4.91333   , 5.85938   , 5.85938   
