TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    1.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.57239   , 51.1719   , 0         , 12.8889   , 1240      , 820       , 829.375   , 456.406   , 353.672   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.44922   , 0.566408  , 34.6172   , 118.734   , 120.633   , 25.7109   , 200       , 12.75     , 12.75     , 2.37334   , 14.25     , 0         , 3.52941   , 0         , -3.75     , 17.041    , 56.4576   , 8.38929   
    1.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.57239   , 51.1719   , 0         , 12.8611   , 1240      , 820       , 829.375   , 457.109   , 353.125   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.44922   , 0.566408  , 34.6875   , 118.641   , 120.539   , 25.6641   , 200       , 12.75     , 12.75     , 2.368     , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.0914   , 56.4667   , 8.01392   
    1.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.57545   , 51.1719   , 0         , 12.9167   , 1240      , 820       , 829.375   , 458.594   , 353.984   , 829.063   , 852.813   , 0.468751  , 0.625002  , 0.429689  , 0.585939  , 34.8047   , 118.359   , 120.234   , 25.7109   , 200       , 12.75     , 12.75     , 2.38134   , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.1219   , 56.4713   , 7.99561   
    1.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.51441   , 51.1719   , 0         , 12.6389   , 1240      , 820       , 829.375   , 459.688   , 352.578   , 829.063   , 852.813   , 0.468751  , 0.625002  , 0.429689  , 0.585939  , 34.875    , 118.453   , 120.328   , 25.5938   , 200       , 12.75     , 12.75     , 2.37867   , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.215    , 56.305    , 8.08716   
    1.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.56934   , 51.1719   , 0         , 12.5278   , 1240      , 820       , 829.375   , 457.969   , 354.766   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.410157  , 0.566408  , 34.6875   , 117.961   , 119.836   , 25.7344   , 200       , 12.75     , 12.75     , 2.36267   , 14.25     , 0         , 3.52941   , 0         , -3.75     , 17.1112   , 56.2104   , 8.34656   
    2.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.53882   , 51.1719   , 0         , 12.6111   , 1240      , 820       , 829.375   , 458.359   , 354.844   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.410157  , 0.566408  , 34.7344   , 118.172   , 120.047   , 25.7578   , 200       , 12.75     , 12.75     , 2.36534   , 14.25     , 0         , 3.52941   , 0         , -3        , 17.0715   , 56.0807   , 8.52967   
    2.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.5785    , 51.1719   , 0         , 12.6389   , 1240      , 820       , 829.375   , 458.281   , 356.797   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.429689  , 0.585939  , 34.6875   , 117.75    , 119.625   , 25.8984   , 200       , 12.75     , 12.75     , 2.36      , 14.25     , 0         , 3.52941   , 0         , -3.75     , 17.0776   , 56.0578   , 8.11768   
    2.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.36182   , 51.1719   , 0         , 12.4167   , 1240      , 820       , 829.375   , 455.469   , 347.031   , 829.063   , 852.813   , 0.488283  , 0.60547   , 0.429689  , 0.585939  , 34.5469   , 118.922   , 120.82    , 25.1484   , 200       , 12.75     , 12.75     , 2.34667   , 14.25     , 0         , 3.52941   , 0         , -5.25     , 17.0456   , 56.1539   , 7.5348    
    2.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.38318   , 51.1719   , 0         , 12.8333   , 1240      , 820       , 829.375   , 452.734   , 349.375   , 830.313   , 852.813   , 0.507814  , 0.585939  , 0.44922   , 0.60547   , 34.2656   , 118.43    , 120.305   , 25.3125   , 200       , 12.75     , 12.75     , 2.34667   , 14.25     , 0         , 3.52941   , 0         , -4.5      , 16.8961   , 56.4957   , 7.83387   
    2.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.31299   , 51.1719   , 0         , 13.1389   , 1240      , 820       , 829.375   , 457.031   , 347.578   , 830.313   , 852.813   , 0.507814  , 0.585939  , 0.44922   , 0.60547   , 34.6172   , 118.055   , 119.93    , 25.125    , 200       , 12.75     , 12.75     , 2.40534   , 14.25     , 0         , 3.13726   , 0         , -3.75     , 16.9769   , 56.3645   , 8.19703   
