TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.900, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.41163   , 19.2047   , 16.0462   , 10.2778   , 2080      , 820       , 827.813   , 274.531   , 255.625   , 827.813   , 848.516   , 1.40625   , 2.03126   , 1.36719   , 1.95313   , 18.2813   , 90.2578   , 91.6875   , 16.7344   , 470       , 20.25     , 21        , 1.70134   , 87.75     , 86.6016   , 1.96079   , 18.5244   , 33.75     , 10.4645   , 47.11     , 10.4645   
    0.950, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.46656   , 19.1483   , 16.1408   , 10.1111   , 2080      , 820       , 827.813   , 267.344   , 257.344   , 827.813   , 848.516   , 1.44532   , 1.875     , 1.28907   , 1.875     , 17.6719   , 89.9531   , 91.3828   , 16.875    , 470       , 21        , 21        , 1.688     , 87.75     , 86.5938   , 1.96079   , 18.5244   , 33        , 10.1334   , 47.1955   , 10.1318   
    1.000, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.42994   , 19.0994   , 16.0339   , 10.1667   , 2080      , 820       , 827.813   , 261.484   , 256.719   , 827.813   , 848.516   , 1.44532   , 1.875     , 1.28907   , 1.875     , 17.2031   , 90.2578   , 91.6875   , 16.8281   , 470       , 21        , 21        , 1.664     , 87.75     , 86.5938   , 1.96079   , 18.5244   , 33.75     , 9.81293   , 47.0108   , 9.81141   
    1.050, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.44825   , 19.0567   , 16.1255   , 9.94445   , 2080      , 820       , 827.891   , 258.125   , 256.172   , 829.063   , 848.125   , 1.44532   , 1.875     , 1.28907   , 1.875     , 16.9219   , 90.1172   , 91.5469   , 16.7813   , 470       , 21        , 21        , 1.64      , 87.75     , 86.5703   , 1.96079   , 18.5244   , 33.75     , 9.72291   , 47.197    , 9.72291   
    1.100, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.45435   , 19.0186   , 16.0767   , 9.69445   , 2080      , 820       , 827.891   , 255.313   , 258.359   , 829.063   , 848.516   , 1.44532   , 1.875     , 1.28907   , 1.875     , 16.6641   , 90.0938   , 91.5234   , 16.9219   , 470       , 21        , 21        , 1.63467   , 87.75     , 86.5625   , 1.96079   , 18.5244   , 33        , 9.50471   , 47.1054   , 9.50318   
    1.150, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.4574    , 18.9881   , 16.1163   , 10.8333   , 2080      , 820       , 827.969   , 263.594   , 258.359   , 829.063   , 848.516   , 1.52344   , 1.875     , 1.32813   , 1.79688   , 17.3438   , 90.0938   , 91.5234   , 16.9219   , 470       , 21        , 21        , 1.68267   , 87.75     , 86.5469   , 1.96079   , 18.5244   , 33        , 9.77784   , 47.0993   , 9.77784   
    1.200, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.4513    , 18.9606   , 16.1041   , 10.5278   , 2080      , 820       , 827.969   , 262.813   , 258.047   , 829.063   , 848.516   , 1.52344   , 1.875     , 1.32813   , 1.79688   , 17.2734   , 90.0703   , 91.5      , 16.8984   , 470       , 21        , 21        , 1.67467   , 87.75     , 86.5313   , 1.96079   , 18.5244   , 33        , 9.75953   , 47.1009   , 9.75953   
    1.250, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.46351   , 18.9377   , 16.1469   , 10.4722   , 2080      , 820       , 827.891   , 267.109   , 258.438   , 827.813   , 848.281   , 1.52344   , 1.95313   , 1.32813   , 1.95313   , 17.625    , 90        , 91.4297   , 16.9219   , 470       , 21        , 21        , 1.69334   , 87.75     , 86.5078   , 1.96079   , 18.5244   , 33        , 10.0067   , 47.0963   , 10.0067   
    1.300, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.43299   , 18.9148   , 16.0736   , 9.86112   , 2080      , 820       , 827.891   , 258.359   , 257.266   , 827.813   , 848.516   , 1.52344   , 1.95313   , 1.32813   , 1.95313   , 16.8984   , 90.0703   , 91.5      , 16.8281   , 470       , 21        , 21        , 1.648     , 87.75     , 86.4922   , 1.96079   , 18.5244   , 33.75     , 9.65882   , 47.0566   , 9.65882   
    1.350, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.98743   , 18.8126   , 15.0757   , 10.9722   , 2080      , 820       , 827.969   , 262.656   , 250.703   , 829.063   , 848.516   , 1.5625    , 1.875     , 1.40625   , 2.03126   , 17.25     , 89.9297   , 91.3594   , 16.2891   , 470       , 21        , 21        , 1.704     , 87.75     , 86.4844   , 1.96079   , 17.8057   , 33        , 9.74885   , 47.0932   , 9.74732   
