
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 50 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  18.11.2017 12:32:35.275

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    1.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.86112   , 840       , 820       , 830.391   , 418.828   , 216.875   , 830.313   , 848.516   , 1.13282   , 1.95313   , 1.05469   , 1.71875   , 27.4922   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.11467   , 77.25     , 0         , 0         , 0         , -12.75    
    1.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.72223   , 840       , 820       , 830.391   , 413.125   , 217.813   , 830.313   , 848.516   , 1.13282   , 1.95313   , 1.05469   , 1.71875   , 26.9531   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.07734   , 77.25     , 0         , 0         , 0         , -12.75    
    1.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 840       , 820       , 830.391   , 412.656   , 218.047   , 830.313   , 848.516   , 1.09375   , 1.875     , 1.09375   , 1.79688   , 26.9063   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.09067   , 77.25     , 0         , 0         , 0         , -12       
    1.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.19445   , 840       , 820       , 830.391   , 416.094   , 218.438   , 830.313   , 848.516   , 1.09375   , 1.875     , 1.09375   , 1.79688   , 27.1641   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12267   , 77.25     , 0         , 0         , 0         , -12.75    
    2.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.02778   , 840       , 820       , 830.391   , 416.719   , 218.438   , 830.313   , 848.516   , 1.13282   , 1.79688   , 1.05469   , 1.79688   , 27.2109   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.10667   , 78        , 0         , 0         , 0         , -12.75    
    2.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.88889   , 840       , 820       , 830.391   , 416.484   , 217.891   , 830.313   , 848.516   , 1.13282   , 1.79688   , 1.05469   , 1.79688   , 27.2344   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.10134   , 78        , 0         , 0         , 0         , -12.75    
    2.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.97223   , 840       , 820       , 830.391   , 418.359   , 218.203   , 830.313   , 848.516   , 1.13282   , 1.875     , 1.05469   , 1.71875   , 27.3516   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12534   , 78        , 0         , 0         , 0         , -12.75    
    2.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.02778   , 840       , 820       , 830.391   , 420.078   , 218.516   , 830.313   , 847.422   , 1.13282   , 1.875     , 1.05469   , 1.71875   , 27.4688   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.12267   , 78        , 0         , 0         , 0         , -12.75    
    2.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.19445   , 840       , 820       , 830.391   , 423.203   , 218.672   , 831.563   , 848.516   , 1.13282   , 1.875     , 1.09375   , 1.64063   , 27.7266   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.14134   , 78        , 0         , 0         , 0         , -12.75    
    2.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.05556   , 840       , 820       , 830.391   , 425       , 219.141   , 831.563   , 848.516   , 1.13282   , 1.875     , 1.09375   , 1.64063   , 27.8438   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.13334   , 78        , 0         , 0         , 0         , -13.5     
    2.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.80556   , 840       , 820       , 830.391   , 424.219   , 219.609   , 831.563   , 847.422   , 1.09375   , 1.95313   , 1.05469   , 1.5625    , 27.75     , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.11734   , 78        , 0         , 0         , 0         , -13.5     
    2.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.63889   , 840       , 820       , 830.469   , 421.016   , 219.063   , 831.563   , 848.516   , 1.09375   , 1.95313   , 1.05469   , 1.5625    , 27.5156   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.096     , 78        , 0         , 0         , 0         , -12.75    
    2.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.86112   , 840       , 820       , 830.469   , 419.922   , 218.359   , 830.313   , 848.516   , 1.05469   , 1.95313   , 1.09375   , 1.5625    , 27.4688   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.10134   , 78        , 0         , 0         , 0         , -12.75    
    2.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 840       , 820       , 830.469   , 419.063   , 217.969   , 830.313   , 848.516   , 1.05469   , 1.95313   , 1.09375   , 1.5625    , 27.3984   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.09334   , 78        , 0         , 0         , 0         , -12.75    
    2.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 840       , 820       , 830.469   , 418.203   , 218.672   , 830.313   , 848.516   , 1.05469   , 1.95313   , 1.09375   , 1.5625    , 27.3516   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.096     , 78        , 0         , 0         , 0         , -12.75    
    2.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.75001   , 840       , 820       , 830.469   , 416.875   , 218.828   , 830.313   , 848.516   , 1.05469   , 1.95313   , 1.09375   , 1.48438   , 27.1875   , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.072     , 78        , 0         , 0         , 0         , -12.75    
    2.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.63889   , 840       , 820       , 830.469   , 414.531   , 218.75    , 830.313   , 848.516   , 1.05469   , 1.95313   , 1.09375   , 1.48438   , 27        , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.06134   , 78        , 0         , 0         , 0         , -12.75    
    2.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.75001   , 840       , 820       , 830.469   , 414.688   , 219.063   , 830.313   , 847.422   , 1.05469   , 1.875     , 1.13282   , 1.5625    , 27        , 147.281   , 147.117   , 10.875    , 170       , 39        , 39        , 2.08267   , 78        , 0         , 0         , 0         , -12       
