TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.33033   , 85.5469   , 0         , 10.7778   , 1080      , 820       , 836.172   , 448.203   , 341.328   , 836.484   , 858.438   , 0.60547   , 0.683596  , 0.566408  , 0.664064  , 32.7891   , 72.1406   , 73.2891   , 23.6484   , 220       , 16.5      , 16.5      , 2.32267   , 23.25     , 0         , 0.405274  , 2.35294   , 0         , -6        , 15.9027   , 35.4615   , 7.74232   
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.33643   , 85.5469   , 0         , 10.5278   , 1080      , 820       , 836.172   , 449.063   , 341.797   , 836.484   , 858.438   , 0.625002  , 0.703127  , 0.546876  , 0.644533  , 32.8125   , 72.1406   , 73.2891   , 23.6484   , 220       , 16.5      , 16.5      , 2.31734   , 23.25     , 0         , 0.408753  , 2.35294   , 0         , -6        , 15.9531   , 35.4767   , 7.724     
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.30591   , 85.5469   , 0         , 10.5833   , 1080      , 820       , 836.172   , 449.297   , 341.016   , 836.484   , 857.422   , 0.625002  , 0.703127  , 0.546876  , 0.644533  , 32.8359   , 72.1406   , 73.2891   , 23.5781   , 220       , 16.5      , 16.5      , 2.32      , 23.25     , 0         , 0.408448  , 2.35294   , 0         , -6        , 16.0034   , 35.4904   , 7.60499   
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.47071   , 85.5469   , 0         , 10.9722   , 1080      , 820       , 836.172   , 451.328   , 347.813   , 836.484   , 859.063   , 0.60547   , 0.703127  , 0.527345  , 0.664064  , 33.0234   , 72.1406   , 73.2891   , 24.1641   , 220       , 16.5      , 16.5      , 2.36      , 23.25     , 0         , 0.416199  , 2.35294   , 0         , -6        , 16.0874   , 35.4691   , 7.91321   
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.43714   , 85.5469   , 0         , 10.7222   , 1080      , 820       , 836.172   , 455.859   , 344.609   , 836.484   , 860.313   , 0.60547   , 0.703127  , 0.527345  , 0.664064  , 33.3984   , 72.1406   , 73.2891   , 23.8828   , 220       , 16.5      , 16.5      , 2.368     , 23.25     , 0         , 0.411743  , 2.35294   , 0         , -4.5      , 16.2689   , 35.4615   , 8.30994   
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.52259   , 85.5469   , 0         , 10.4722   , 1080      , 820       , 836.172   , 456.953   , 349.922   , 836.484   , 857.188   , 0.585939  , 0.703127  , 0.527345  , 0.683596  , 33.4219   , 72.1406   , 73.2891   , 24.3047   , 220       , 16.5      , 16.5      , 2.34134   , 23.25     , 0         , 0.418457  , 2.35294   , 0         , -4.5      , 16.3056   , 35.4218   , 8.4137    
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.51648   , 85.5469   , 0         , 10.6389   , 1080      , 820       , 836.172   , 456.172   , 350.078   , 836.484   , 857.109   , 0.585939  , 0.703127  , 0.527345  , 0.683596  , 33.3516   , 72.1406   , 73.2891   , 24.2813   , 220       , 16.5      , 16.5      , 2.376     , 23.25     , 0         , 0.417603  , 2.35294   , 0         , -6        , 16.2232   , 35.4584   , 8.00782   
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.58973   , 85.5469   , 0         , 10.9445   , 1040      , 820       , 836.172   , 460.234   , 352.344   , 836.484   , 858.203   , 0.585939  , 0.683596  , 0.507814  , 0.664064  , 33.75     , 72.1406   , 73.2891   , 24.5156   , 220       , 16.5      , 16.5      , 2.41067   , 23.25     , 0         , 0.42096   , 2.35294   , 0         , -2.25     , 16.4429   , 35.4218   , 9.3628    
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.5409    , 87.2956   , 0         , 10.8056   , 1080      , 820       , 836.172   , 461.719   , 348.281   , 836.484   , 859.219   , 0.585939  , 0.683596  , 0.507814  , 0.664064  , 33.7969   , 72.1406   , 73.2891   , 24.0938   , 220       , 16.5      , 16.5      , 2.32534   , 23.25     , 0         , 0.42041   , 2.35294   , 0         , -6.75     , 16.4993   , 35.4691   , 7.8003    
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.52259   , 87.0698   , 0         , 10.8333   , 1080      , 820       , 836.172   , 464.844   , 346.719   , 836.484   , 859.297   , 0.566408  , 0.703127  , 0.488283  , 0.644533  , 34.1484   , 72.1406   , 73.2891   , 24.0703   , 220       , 16.5      , 16.5      , 2.38667   , 23.25     , 0         , 0.414612  , 2.35294   , 0         , -6        , 16.6794   , 35.4508   , 8.12379   
