TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.900, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.36182   , 99.9985   , 8.36182   , 99.2188   , 0         , 3.72223   , 8.11112   , 800       , 840       , 840.078   , 444.844   , 323.828   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.25      , 0.742189  , 0.937502  , 33.6797   , 72.1406   , 73.2891   , 22.0313   , 375       , 38.25     , 38.25     , 2.44534   , 95.25     , 0         , 0.385742  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 13.5697   , 25.0046   , 8.36182   , 0         , 8.03223   , 9.33839   , 9.33839   , 0         , 0         , 0         , 0         , 28.5      
    0.950, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.30689   , 99.9985   , 8.30689   , 99.2188   , 0         , 3.69445   , 7.80556   , 800       , 840       , 840.078   , 444.141   , 322.969   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.25      , 0.742189  , 0.937502  , 33.6094   , 72.1406   , 73.2891   , 21.9609   , 375       , 38.25     , 38.25     , 2.42934   , 95.25     , 0         , 0.384705  , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.5452   , 24.9909   , 8.30689   , 0         , 8.17261   , 9.28345   , 9.28345   , 0         , 0         , 0         , 0         , 28.5      
    1.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.34046   , 99.9985   , 8.34046   , 99.2188   , 0         , 3.66667   , 7.75001   , 760       , 840       , 840.078   , 444.297   , 324.219   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.25      , 0.722658  , 0.89844   , 33.5859   , 72.1406   , 73.2891   , 22.0313   , 375       , 38.25     , 38.25     , 2.42934   , 95.25     , 0         , 0.385926  , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.5223   , 24.9787   , 8.34046   , 0         , 8.36182   , 9.31702   , 9.31702   , 0         , 0         , 0         , 0         , 28.5      
    1.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.33741   , 99.9985   , 8.33741   , 99.2188   , 0         , 3.69445   , 7.8889    , 800       , 840       , 840.078   , 443.281   , 324.766   , 840.234   , 991.25    , 857.344   , 0.703127  , 1.25      , 0.722658  , 0.89844   , 33.4453   , 72.1406   , 73.2891   , 22.0313   , 375       , 38.25     , 38.25     , 2.424     , 95.25     , 0         , 0.38916   , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4903   , 24.9832   , 8.33741   , 0         , 8.39539   , 9.31397   , 9.31397   , 0         , 0         , 0         , 0         , 28.5      
    1.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.36487   , 99.9985   , 8.36487   , 99.2188   , 0         , 3.69445   , 7.8889    , 800       , 840       , 840.078   , 443.594   , 324.844   , 840.234   , 992.188   , 858.203   , 0.722658  , 1.21094   , 0.742189  , 0.859377  , 33.4922   , 72.1406   , 73.2891   , 22.0547   , 375       , 38.25     , 38.25     , 2.41867   , 95.25     , 0         , 0.386902  , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.5101   , 24.9893   , 8.36487   , 0         , 8.26417   , 9.34144   , 9.34144   , 0         , 0         , 0         , 0         , 28.5      
    1.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.32825   , 99.9985   , 8.32825   , 99.2188   , 0         , 3.69445   , 8.16667   , 800       , 840       , 840.078   , 446.563   , 324.219   , 840.234   , 991.016   , 857.109   , 0.722658  , 1.21094   , 0.742189  , 0.859377  , 33.7969   , 72.1406   , 73.2891   , 22.0078   , 375       , 38.25     , 38.25     , 2.45334   , 95.25     , 0         , 0.38562   , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.5941   , 24.9817   , 8.32825   , 0         , 8.29163   , 9.30482   , 9.30482   , 0         , 0         , 0         , 0         , 28.5      
    1.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.36182   , 99.9985   , 8.36182   , 99.2188   , 0         , 3.66667   , 7.86112   , 800       , 840       , 840.078   , 448.75    , 324.922   , 840.234   , 991.172   , 857.266   , 0.742189  , 1.17188   , 0.742189  , 0.859377  , 33.9844   , 72.1406   , 73.2891   , 22.0547   , 375       , 38.25     , 38.25     , 2.43734   , 95.25     , 0         , 0.386719  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 13.6719   , 24.9939   , 8.36182   , 0         , 8.18482   , 9.33839   , 9.33839   , 0         , 0         , 0         , 0         , 28.5      
    1.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.35267   , 99.9985   , 8.35267   , 99.2188   , 0         , 3.66667   , 7.66667   , 760       , 840       , 840.078   , 445.156   , 324.375   , 840.234   , 992.188   , 858.203   , 0.742189  , 1.17188   , 0.742189  , 0.859377  , 33.6797   , 72.1406   , 73.2891   , 22.0547   , 375       , 38.25     , 38.25     , 2.41067   , 95.25     , 0         , 0.385803  , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.5559   , 24.9726   , 8.35267   , 0         , 8.42286   , 9.32923   , 9.32923   , 0         , 0         , 0         , 0         , 28.5      
    1.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.41065   , 99.9985   , 8.41065   , 99.2188   , 0         , 3.58334   , 7.75001   , 760       , 840       , 840.078   , 444.453   , 326.25    , 840.234   , 993.594   , 859.375   , 0.742189  , 1.17188   , 0.761721  , 0.820315  , 33.5391   , 72.1406   , 73.2891   , 22.1484   , 375       , 38.25     , 38.25     , 2.41867   , 95.25     , 0         , 0.388306  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.5056   , 24.9787   , 8.41065   , 0         , 8.41675   , 9.38721   , 9.38721   , 0         , 0         , 0         , 0         , 28.5      
    1.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.37098   , 99.9985   , 8.37098   , 99.2188   , 0         , 3.66667   , 7.44445   , 760       , 840       , 840.078   , 442.656   , 325.234   , 840.234   , 991.094   , 857.188   , 0.742189  , 1.17188   , 0.761721  , 0.820315  , 33.375    , 72.1406   , 73.2891   , 22.0781   , 375       , 38.25     , 38.25     , 2.38934   , 95.25     , 0         , 0.388855  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4506   , 24.9726   , 8.37098   , 0         , 8.53272   , 9.34754   , 9.34754   , 0         , 0         , 0         , 0         , 28.5      
    1.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.4076    , 99.9985   , 8.4076    , 99.2188   , 0         , 3.58334   , 7.47223   , 760       , 840       , 840.078   , 441.016   , 326.484   , 840.234   , 991.016   , 857.109   , 0.761721  , 1.13282   , 0.781252  , 0.781252  , 33.2109   , 72.1406   , 73.2891   , 22.1719   , 375       , 38.25     , 38.25     , 2.4       , 95.25     , 0         , 0.388306  , 0.949982  , 0.784314  , 0         , -8.25     , 0         , 13.3911   , 24.9603   , 8.4076    , 0         , 8.6731    , 9.38416   , 9.38416   , 0         , 0         , 0         , 0         , 28.5      
