TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    1.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.18103   , 99.2188   , 0         , 5.41667   , 6.77778   , 920       , 820       , 833.516   , 399.531   , 213.203   , 834.063   , 1140.94   , 853.438   , 0.60547   , 0.937502  , 0.742189  , 1.25      , 26.0391   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.072     , 88.5      , 0         , 0.255737  , 0.949982  , 0         , 0         , -12       , 12.5794   , 34.5886   , 0         
    1.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.13525   , 99.2188   , 0         , 5.41667   , 7.00001   , 920       , 820       , 833.516   , 396.953   , 212.344   , 834.063   , 1142.27   , 854.453   , 0.60547   , 0.937502  , 0.742189  , 1.25      , 25.875    , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.06667   , 88.5      , 0         , 0.2547    , 0.949982  , 0         , 0         , -12       , 12.5244   , 34.6329   , 0         
    1.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.12305   , 99.2188   , 0         , 5.41667   , 7.19445   , 920       , 820       , 833.516   , 398.75    , 211.719   , 832.813   , 1143.28   , 855.156   , 0.625002  , 0.937502  , 0.742189  , 1.28907   , 26.0625   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.096     , 88.5      , 0         , 0.253967  , 0.949982  , 0         , 0         , -12       , 12.616    , 34.6771   , 0         
    1.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06506   , 99.2188   , 0         , 5.41667   , 7.19445   , 920       , 820       , 833.516   , 397.578   , 210.234   , 832.813   , 1140.31   , 852.969   , 0.625002  , 0.937502  , 0.742189  , 1.28907   , 26.0625   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.08534   , 88.5      , 0         , 0.252197  , 0.949982  , 0         , 0         , -12       , 12.6434   , 34.7672   , 0         
    1.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06812   , 99.2188   , 0         , 5.41667   , 7.16667   , 920       , 820       , 833.438   , 396.719   , 209.609   , 832.813   , 1140.63   , 853.281   , 0.644533  , 0.937502  , 0.722658  , 1.25      , 26.0391   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.06934   , 88.5      , 0         , 0.251465  , 0.949982  , 0         , 0         , -12       , 12.6038   , 34.8038   , 0         
    1.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.04981   , 99.2188   , 0         , 5.41667   , 7.13889   , 920       , 820       , 833.438   , 396.016   , 211.094   , 832.813   , 1140.94   , 853.438   , 0.644533  , 0.937502  , 0.722658  , 1.25      , 25.875    , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.05067   , 88.5      , 0         , 0.253235  , 0.949982  , 0         , 0         , -12       , 12.4786   , 34.7077   , 0         
    1.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.02234   , 99.2188   , 0         , 5.41667   , 6.97223   , 960       , 820       , 833.438   , 393.516   , 209.531   , 832.813   , 1143.83   , 855.625   , 0.644533  , 0.976565  , 0.703127  , 1.21094   , 25.7813   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03467   , 88.5      , 0         , 0.251404  , 0.949982  , 0         , 0         , -12       , 12.5198   , 34.8114   , 0         
    1.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06506   , 99.2188   , 0         , 5.41667   , 6.83334   , 920       , 820       , 833.438   , 390.625   , 209.531   , 832.813   , 1144.53   , 856.094   , 0.644533  , 0.976565  , 0.703127  , 1.21094   , 25.5469   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.04534   , 88.5      , 0         , 0.251404  , 0.949982  , 0         , 0         , -12       , 12.3093   , 34.8328   , 0         
    1.750, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.04065   , 99.2188   , 0         , 5.41667   , 6.97223   , 920       , 820       , 833.438   , 387.266   , 209.297   , 832.813   , 1141.56   , 853.906   , 0.664064  , 0.937502  , 0.722658  , 1.17188   , 25.2891   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03734   , 88.5      , 0         , 0.251099  , 0.949982  , 0         , 0         , -11.25    , 12.178    , 34.8267   , 0         
    1.800, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.04675   , 99.2188   , 0         , 5.41667   , 6.86112   , 920       , 820       , 833.438   , 385.234   , 209.297   , 832.813   , 1144.84   , 856.406   , 0.664064  , 0.937502  , 0.722658  , 1.17188   , 25.125    , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.00267   , 88.5      , 0         , 0.251099  , 0.949982  , 0         , 0         , -11.25    , 12.1109   , 34.8191   , 0         
